Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Floor 6,Floor 7,Floor 8,Floor 9,Floor 10
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,44,26,4,2,0,0
50,50,50,50,50,50,50,50,50,50
50,48,46,46,38,20,0,0,0,0
50,50,50,50,50,50,50,50,44,26
50,50,50,50,44,26,4,2,2,2
50,50,48,48,48,48,46,46,40,22
50,50,50,50,42,24,0,0,0,0
50,50,50,50,50,50,50,50,44,26
50,50,48,48,42,24,0,0,0,0
50,50,50,50,50,50,50,50,44,26
50,50,50,50,42,24,0,0,0,0
50,50,50,50,50,50,50,50,44,26
50,50,50,50,44,26,4,2,2,2
50,50,50,50,50,50,50,50,44,26
50,50,50,50,42,24,0,0,0,0
50,50,50,50,50,50,50,50,44,26
50,48,48,48,42,24,0,0,0,0
50,50,50,50,48,48,48,48,42,24
50,50,50,50,44,26,4,2,2,2
50,48,48,48,48,48,48,48,42,24
50,50,50,50,42,24,0,0,0,0
50,50,50,48,48,48,48,48,42,48
50,50,50,50,44,26,4,2,2,2
50,48,48,48,48,48,48,48,42,48
50,50,50,50,44,26,4,2,2,2
50,50,50,48,48,48,48,48,42,48
50,50,50,50,44,26,4,2,2,2
50,48,48,48,48,48,48,48,42,48
50,50,50,50,44,26,4,2,2,2
50,50,50,48,48,48,46,46,40,44
50,50,50,50,44,26,4,2,2,2
50,50,50,50,50,50,50,50,44,50
50,50,50,50,44,26,4,2,2,2
50,50,50,48,48,48,48,48,42,48
50,50,50,50,42,24,0,0,0,0
50,50,50,50,50,50,50,50,44,50
50,50,50,48,42,24,0,0,0,0
50,50,50,50,50,50,50,50,44,50
50,50,50,50,44,26,4,2,2,2
50,50,50,50,50,50,50,50,44,50
50,42,24,24,0,0,0,0,0,0
50,50,50,50,50,44,4,0,0,0
50,44,26,26,4,2,2,2,0,0
50,48,48,48,48,42,0,0,0,0
50,44,26,26,4,2,2,0,0,0
50,50,50,50,50,44,4,2,0,0
50,44,26,4,0,0,0,0,0,0
50,50,50,50,50,44,4,0,0,0
50,44,4,0,0,0,0,0,0,0
50,50,50,50,44,4,0,0,0,0
50,44,4,0,0,0,0,0,0,0
50,50,50,50,44,4,0,0,0,0
50,44,4,0,0,0,0,0,0,0
