Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Floor 6,Floor 7,Floor 8,Floor 9,Floor 10
100,100,100,100,100,100,100,100,100,100
77,77,77,77,77,100,77,77,77,77
59,59,59,59,59,77,59,59,59,59
44,44,44,44,44,59,44,44,44,44
32,32,32,32,32,44,32,32,41,32
23,23,23,23,23,41,23,23,41,23
15,15,15,15,15,41,15,15,41,15
3,3,3,3,3,41,3,3,41,3
3,3,3,3,8,41,3,8,41,3
3,3,3,8,10,41,8,10,41,3
100,100,100,10,3,41,10,3,41,100
77,77,77,3,3,41,3,8,41,77
59,59,59,3,8,41,3,10,41,59
44,44,44,3,10,41,3,3,41,44
32,32,32,100,3,41,100,3,41,32
23,23,23,77,3,41,77,3,41,23
15,15,15,59,8,41,59,100,41,15
3,3,3,44,10,41,44,77,41,3
8,3,8,32,3,41,32,59,41,8
10,3,10,23,8,41,23,44,41,10
3,100,3,15,10,41,15,32,41,3
3,77,3,3,3,41,3,23,41,3
8,59,8,3,8,41,3,15,41,3
10,44,10,3,10,41,8,3,41,100
3,32,3,100,3,41,10,8,41,77
3,23,3,77,8,41,3,10,41,59
8,15,8,59,10,41,3,3,41,44
10,3,10,44,3,41,3,3,41,32
3,3,3,32,3,41,100,3,41,23
3,8,3,23,3,41,77,100,41,15
8,10,8,15,100,41,59,77,41,3
10,3,10,3,77,41,44,59,41,3
3,3,3,3,59,41,32,44,41,8
3,3,3,3,44,41,23,32,41,10
3,100,8,100,32,41,15,23,41,3
100,77,10,77,23,41,3,15,41,3
77,59,3,59,15,41,3,3,41,3
59,44,8,44,3,41,8,8,41,100
44,32,10,32,3,41,10,10,41,77
32,23,3,23,3,41,3,3,41,59
23,15,3,15,100,41,8,8,41,44
15,3,3,3,77,41,10,10,41,32
3,3,100,3,59,41,3,3,41,23
3,8,77,8,44,41,3,3,41,15
8,10,59,10,32,41,3,3,41,3
10,3,44,3,23,41,100,100,41,3
3,8,32,8,15,41,77,77,41,3
3,10,23,10,3,41,59,59,41,100
3,3,15,3,3,41,44,44,41,77
100,3,3,8,3,41,32,32,41,59
77,3,3,10,100,41,23,23,41,44
59,100,8,3,77,41,15,15,41,32
44,77,10,3,59,41,3,3,41,23
32,59,3,8,44,41,8,8,41,15
23,44,3,10,32,41,10,10,41,3
15,32,3,3,23,41,3,3,41,3
3,23,100,3,15,41,3,3,41,3
3,15,77,8,3,41,3,3,41,100
8,3,59,10,3,41,100,100,41,77
10,3,44,3,3,41,77,77,41,59
