Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Floor 6,Floor 7,Floor 8,Floor 9,Floor 10
0.100000,0.100000,0.100000,0.100000,0.100000,0.183333,0.000000,0.000000,0.000000,0.000000
0.100000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.105000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.105000,0.000000,0.000000,0.100667,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.106667,0.000000,0.000000,0.098667,0.000000
0.100000,0.100000,0.100000,0.100000,0.100000,0.106667,0.092000,0.092000,0.098667,0.084000
0.133333,0.133333,0.133333,0.133333,0.136667,0.102667,0.121333,0.124667,0.090667,0.109333
0.166667,0.166667,0.166667,0.170000,0.000000,0.102667,0.158000,0.000000,0.090667,0.142667
0.100000,0.100000,0.000000,0.000000,0.100000,0.106667,0.000000,0.092000,0.098667,0.000000
0.000000,0.000000,0.000000,0.100000,0.133333,0.106667,0.092000,0.128667,0.094667,0.000000
0.000000,0.000000,0.000000,0.133333,0.170000,0.102667,0.121333,0.000000,0.094667,0.000000
0.000000,0.000000,0.000000,0.166667,0.000000,0.106667,0.158667,0.092000,0.098667,0.000000
0.000000,0.000000,0.000000,0.000000,0.100000,0.106667,0.000000,0.125333,0.098667,0.000000
0.000000,0.000000,0.000000,0.000000,0.133333,0.106667,0.000000,0.158667,0.098667,0.000000
0.000000,0.000000,0.000000,0.000000,0.170000,0.102667,0.000000,0.000000,0.094667,0.000000
0.100000,0.100000,0.100000,0.000000,0.000000,0.106667,0.000000,0.000000,0.098667,0.084000
0.136667,0.129333,0.132667,0.000000,0.092000,0.098667,0.000000,0.000000,0.090667,0.112667
0.000000,0.166667,0.000000,0.000000,0.136667,0.102667,0.000000,0.000000,0.094667,0.000000
0.100000,0.000000,0.100000,0.000000,0.000000,0.106667,0.000000,0.000000,0.098667,0.084000
0.133333,0.000000,0.133333,0.100000,0.100000,0.106667,0.092000,0.000000,0.098667,0.117333
0.170000,0.000000,0.166000,0.125333,0.128667,0.094667,0.113333,0.000000,0.086667,0.138667
0.000000,0.000000,0.000000,0.166667,0.000000,0.106667,0.162000,0.088000,0.094667,0.000000
0.100000,0.000000,0.100000,0.000000,0.100000,0.106667,0.000000,0.128667,0.094667,0.000000
0.133333,0.000000,0.133333,0.000000,0.136667,0.102667,0.088000,0.000000,0.094667,0.000000
0.170000,0.000000,0.166000,0.000000,0.000000,0.098667,0.117333,0.084000,0.090667,0.000000
0.000000,0.100000,0.000000,0.000000,0.100000,0.106667,0.158667,0.125333,0.098667,0.000000
0.100000,0.133333,0.100000,0.000000,0.133333,0.106667,0.000000,0.158667,0.098667,0.000000
0.133333,0.170000,0.129333,0.000000,0.162667,0.102667,0.000000,0.000000,0.094667,0.000000
0.170000,0.000000,0.166000,0.000000,0.000000,0.098667,0.000000,0.000000,0.090667,0.076000
0.000000,0.100000,0.000000,0.100000,0.000000,0.106667,0.000000,0.000000,0.098667,0.117333
0.100000,0.133333,0.100000,0.133333,0.000000,0.106667,0.000000,0.000000,0.098667,0.154000
0.133333,0.166667,0.133333,0.166667,0.000000,0.106667,0.000000,0.000000,0.098667,0.000000
0.166667,0.000000,0.170000,0.000000,0.000000,0.102667,0.000000,0.000000,0.094667,0.080000
0.100000,0.000000,0.000000,0.000000,0.000000,0.106667,0.092000,0.000000,0.098667,0.117333
0.000000,0.000000,0.100000,0.000000,0.000000,0.106667,0.125333,0.092000,0.098667,0.150667
0.000000,0.000000,0.136667,0.000000,0.096000,0.102667,0.158000,0.120667,0.086667,0.000000
0.000000,0.000000,0.000000,0.000000,0.133333,0.106667,0.000000,0.000000,0.098667,0.000000
0.000000,0.000000,0.100000,0.000000,0.166667,0.106667,0.092000,0.092000,0.098667,0.000000
0.000000,0.000000,0.133333,0.000000,0.000000,0.106667,0.128667,0.124667,0.090667,0.000000
0.000000,0.100000,0.166667,0.100000,0.000000,0.106667,0.000000,0.000000,0.098667,0.000000
0.100000,0.133333,0.000000,0.133333,0.000000,0.106667,0.092000,0.092000,0.098667,0.000000
0.133333,0.170000,0.000000,0.166000,0.000000,0.098667,0.117333,0.117333,0.090667,0.000000
0.170000,0.000000,0.000000,0.000000,0.000000,0.102667,0.154667,0.154667,0.094667,0.080000
