80ff7acd-7efe-4b1f-92d5-9b57ca369cde,b8d68f91-84e9-45a7-9118-108af34445ef,c11a81bf-e7df-437b-bbce-91238bd071a9,38e4df68-5c23-4cb9-9b1b-ce6a8df9aa5e,4d754502-898b-435f-ac4b-d2b68cbc43ea,e7788271-74d0-4d45-aa07-df67ab37c150,ca5b4361-7051-4d4b-ab1d-019d558199cd,e3f9d6ef-a88f-4e07-aa4e-c9d836a5edea,748c7eea-ca3c-40d6-bf7d-39baccddafdd,cbb26820-c1f8-4093-a924-7ca4c9723a3a,fa0b48eb-15c1-4d11-9312-086683d833aa,6163fc54-6bf9-4bee-a17e-9fb6c58f0e10,73aa4345-491e-4e52-878e-c54e4677e4fd,9b6c2f03-aab8-4023-a1ce-a3cfaf44862c,8e6bbfaf-6d5e-4e38-95eb-8f25660b2c9c,8718098c-e7df-4dff-931e-4328a023af7c,4425edb9-fcf2-4eaf-b588-e18db07b6acc,e4811424-fb65-43e5-883c-ef5ec03becf6,b5e5c5b0-79d7-4cc6-be3f-1c356828cc03,1c5b3004-3810-4bb8-932d-7708534452da,a90ba462-5a8d-415f-957f-76841eaefcca,f9e288d1-d109-4f76-93ea-2eb8fa74b2e6,802e476f-800e-4d14-ac42-87006f5b7ad8,5846733c-0e9d-40f7-8965-f6182cfe09d5,0faebf4f-7e8c-4f9d-b9b2-34b6576d1194,73541e5d-703c-4cb9-92ed-4e12b6d6d6fd,1be98f67-0966-4b64-a276-65d9f20473a9,1c7b46bf-ef94-4f74-a668-4e7ba274ca09,962364ba-9d9c-4d4c-860b-ec8468cfd4a2,cab1a38f-f670-4311-badf-74ff81035ac7,44a18527-64a8-490d-bb6f-2e1b571946bf,b61d2413-3f11-4a30-9509-67f707874b81,5b605742-f095-407f-896e-6244caa15ba3,22872ed3-61b5-4749-946a-c4121919921d,22f36095-4fa4-4c74-a1cb-1ddad63a7f0c,87521223-b6b8-4004-bdfc-c30ff75db1a3,b957d298-6d5a-40c1-8fc9-7e84cd36db39,ea39d336-eb55-45c7-9b58-692560b927b1,91b0c17f-ca15-4a9d-b974-1ad093913708,6004944c-18b3-4621-a8d9-154b7340c493,5ba024a0-401c-4fdb-b41c-0777dc77d86b,54777e9b-032a-4d99-ae5a-2763d8b1f698,8fac7b05-66c8-4a86-bd1f-35141f62ad87,95fb151b-e263-4eb9-b872-4f6b6bc849bd,8d536f95-dd25-4ef0-8b54-f756a10f54ef,1a0a50f1-e9f6-421f-b6d5-d8c6259934b8,bf0adec1-3263-4d5b-aa66-c0da21a56ffe,0c832ba6-2f69-4b7e-bc10-0123bdf5ceff,3b2edbcb-1f7b-454c-a5fc-0c7798598e5c,c2b4fac8-5e10-4924-ae8d-f4da766fa4ec
Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6,Team6
0.000000,0.000000,0.000000,0.000000,0.000000,0.183333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000
0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.100000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000
0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000
0.000000,0.100000,0.000000,0.057000,0.069000,0.075000,0.000000,0.000000,0.000000,0.000000,0.081000,0.000000,0.000000,0.000000,0.051000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033000,0.000000,0.087000,0.000000,0.000000,0.000000,0.000000,0.105000,0.039000,0.000000,0.063000,0.099000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.020667,0.000000,0.000000,0.060667,0.000000,0.105000,0.000000,0.036667,0.052667,0.000000,0.000000,0.000000,0.000000,0.000000,0.068667,0.000000,0.000000,0.000000,0.028667,0.000000,0.000000,0.000000,0.084667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100667,0.076667,0.000000,0.000000,0.000000,0.000000,0.000000,0.011000,0.000000,0.044667,0.092667,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.066667,0.000000,0.000000,0.000000,0.026667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074667,0.000000,0.000000,0.000000,0.000000,0.098667,0.007333,0.000000,0.042667,0.090667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018667,0.000000,0.000000,0.000000,0.000000,0.106667,0.000000,0.034667,0.050667,0.058667
0.000000,0.000000,0.102667,0.000000,0.000000,0.000000,0.000000,0.000000,0.092000,0.067333,0.088000,0.000000,0.087333,0.052000,0.072000,0.000000,0.000000,0.000000,0.000000,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.072000,0.000000,0.086667,0.007333,0.103333,0.100000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078667,0.052000,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.091333
-0.060000,0.000000,-0.060000,0.000000,0.078667,0.089333,0.000000,0.106667,0.132667,0.129333,0.000000,0.000000,-0.060000,0.000000,0.000000,0.000000,0.098667,-0.060000,0.000000,0.000000,-0.060000,0.000000,0.000000,0.000000,0.120667,0.000000,0.000000,0.092667,0.105333,0.000000,-0.060000,-0.060000,-0.060000,0.070667,-0.060000,-0.060000,-0.060000,-0.060000,-0.060000,0.097333,0.085333,-0.060000,0.105333,0.000000,0.086667,0.062000,0.000000,0.136667,0.113333,0.000000
