HP,HP average
97,97
89,93
68,84.66666667
51,76.25
61,73.2
60,71
45,67.28571429
33,63
23,58.55555556
45,57.2
75,58.81818182
57,58.66666667
43,57.46153846
31,55.57142857
52,55.33333333
53,55.1875
39,54.23529412
28,52.77777778
33,51.73684211
62,52.25
89,54
98,56
75,56.82608696
99,58.58333333
76,59.28
58,59.23076923
43,58.62962963
45,58.14285714
33,57.27586207
23,56.13333333
38,55.5483871
68,55.9375
51,55.78787879
38,55.26470588
27,54.45714286
19,53.47222222
12,52.35135135
3,51.05263158
8,49.94871795
10,48.95
3,47.82926829
8,46.88095238
10,46.02325581
3,45.04545455
3,44.11111111
8,43.32608696
10,42.61702128
8,41.89583333
24,41.53061224
39,41.48
28,41.21568627
49,41.36538462
36,41.26415094
66,41.72222222
50,41.87272727
51,42.03571429
80,42.70175439
61,43.01724138
85,43.72881356
65,44.08333333
91,44.85245902
93,45.62903226
100,46.49206349
85,47.09375
100,47.90769231
100,48.6969697
100,49.46268657
100,50.20588235
100,50.92753623
99,51.61428571
99,52.28169014
76,52.61111111
93,53.16438356
71,53.40540541
54,53.41333333
79,53.75
100,54.35064935
93,54.84615385
85,55.2278481
65,55.35
72,55.55555556
55,55.54878049
76,55.79518072
58,55.82142857
43,55.67058824
66,55.79069767
73,55.98850575
97,56.45454545
89,56.82022472
98,57.27777778
75,57.47252747
57,57.4673913
78,57.68817204
59,57.70212766
44,57.55789474
32,57.29166667
46,57.17525773
34,56.93877551
47,56.83838384
77,57.04
88,57.34653465
78,57.54901961
59,57.5631068
44,57.43269231
32,57.19047619
58,57.19811321
43,57.06542056
54,57.03703704
40,56.88073394
51,56.82727273
76,57
58,57.00892857
43,56.88495575
73,57.02631579
90,57.31304348
69,57.4137931
75,57.56410256
71,57.6779661
70,57.78151261
53,57.74166667
78,57.90909091
59,57.91803279
67,57.99186992
69,58.08064516
52,58.032
39,57.88095238
70,57.97637795
53,57.9375
62,57.96899225
47,57.88461538
58,57.88549618
82,58.06818182
63,58.10526316
47,58.02238806
35,57.85185185
25,57.61029412
17,57.31386861
53,57.2826087
39,57.15107914
70,57.24285714
88,57.46099291
81,57.62676056
62,57.65734266
70,57.74305556
92,57.97931034
71,58.06849315
54,58.04081633
40,57.91891892
29,57.72483221
38,57.59333333
43,57.49668874
31,57.32236842
22,57.09150327
38,56.96753247
27,56.77419355
33,56.62179487
65,56.67515924
63,56.71518987
47,56.65408805
35,56.51875
25,56.32298137
31,56.16666667
45,56.09815951
56,56.09756098
42,56.01212121
66,56.07228916
50,56.03592814
37,55.92261905
27,55.75147929
58,55.76470588
43,55.69005848
73,55.79069767
69,55.86705202
52,55.84482759
81,55.98857143
62,56.02272727
61,56.05084746
60,56.07303371
45,56.01117318
58,56.02222222
57,56.02762431
82,56.17032967
63,56.20765027
47,56.1576087
35,56.04324324
60,56.06451613
45,56.00534759
74,56.10106383
86,56.25925926
100,56.48947368
100,56.71727749
86,56.86979167
66,56.91709845
50,56.8814433
40,56.79487179
43,56.7244898
70,56.79187817
82,56.91919192
63,56.94974874
61,56.97
85,57.10945274
100,57.32178218
80,57.43349754
61,57.45098039
76,57.54146341
72,57.61165049
78,57.71014493
59,57.71634615
44,57.6507177
32,57.52857143
62,57.54976303
77,57.64150943
59,57.64788732
44,57.58411215
66,57.62325581
64,57.65277778
48,57.60829493
65,57.64220183
63,57.66666667
47,57.61818182
77,57.70588235
59,57.71171171
58,57.71300448
57,57.70982143
82,57.81777778
74,57.88938053
