Altruist,Collectivist,Selfish,Narcissist
10,43,37,10
1,66,33,0
0,63,37,0
0,43,57,0
0,35,65,0
0,33,67,0
0,33,66,1
0,33,46,21
0,33,43,24
0,33,27,40
4,44,22,30
0,52,25,23
1,35,39,25
6,27,62,5
1,30,64,5
0,24,74,2
0,9,88,3
0,9,54,37
0,7,47,46
0,6,48,46
8,22,44,26
1,30,46,23
0,24,52,24
3,15,74,8
0,18,77,5
0,11,86,3
0,4,93,3
0,3,61,36
0,1,57,42
0,3,55,42
8,20,50,22
0,30,45,25
0,24,51,25
2,11,80,7
0,18,77,5
1,7,89,3
1,4,91,4
0,2,61,37
0,1,55,44
0,2,54,44
6,17,46,31
1,25,48,26
0,17,56,27
6,12,77,5
0,18,78,4
1,10,86,3
0,4,93,3
1,2,60,37
0,3,53,44
0,3,53,44
8,16,53,23
0,26,49,25
0,19,57,24
7,16,71,6
1,23,72,4
0,18,79,3
0,3,94,3
0,2,61,37
1,1,57,41
0,4,52,44
